endpoint,status_code,success,matched_key_path,example_value
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[42].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[42].stage_score,14
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[42].momentum,growth
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[42].momentum_score,0
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[43].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[43].stage_score,13
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[43].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[43].momentum_score,98
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[44].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[44].stage_score,13
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[44].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[44].momentum_score,94
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[45].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[45].stage_score,12
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[45].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[45].momentum_score,91
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[46].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[46].stage_score,11
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[46].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[46].momentum_score,90
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[47].stage,developing
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[47].stage_score,61
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[47].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[47].momentum_score,89
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[48].stage,developing
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[48].stage_score,61
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[48].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[48].momentum_score,92
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[49].stage,developing
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[49].stage_score,61
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[49].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[49].momentum_score,94
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[0].followers,447305
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[0].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[1].followers,447305
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[1].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[2].followers,447305
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[2].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[3].followers,447305
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[3].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[4].followers,447305
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[4].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[5].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[5].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[6].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[6].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[7].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[7].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[8].followers,447139
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[8].avg_views_per_post,0
api__artist__240495__social-audience-stats__audienceType-followers__domain-instagram__limit-100__since-2024-01-01__statsType-stat__until-2024-12-31,200,True,obj[9].followers,447139
